file,Group,NewID
X20210204_MK_MGH_Insol_CBD_2326_1to1Dil_Slot1_12_1_3662.Intensity,CBD,CBD_02
X20210204_MK_MGH_Insol_CBD_2138_1to1Dil_Slot1_13_1_3663.Intensity,CBD,CBD_03
X20210204_MK_MGH_Insol_CBD_2013_1to1Dil_Slot1_12_1_3717.Intensity,CBD,CBD_04
X20210204_MK_MGH_Insol_CBD_1931_1to1Dil_Slot1_24_1_3614.Intensity,CBD,CBD_05
X20210204_MK_MGH_Insol_CBD_1715_1to1Dil_Slot1_25_1_3615.Intensity,CBD,CBD_06
X20210204_MK_MGH_Insol_CBD_1487_1to1Dil_Slot1_12_1_3634.Intensity,CBD,CBD_07
X20210204_MK_MGH_Insol_CBD_1349_1to1Dil_Slot1_12_1_3601.Intensity,CBD,CBD_08
X20210204_MK_MGH_Insol_CBD_799_1to1Dil_Slot1_13_1_3602.Intensity,CBD,CBD_09
X20210204_MK_MGH_Insol_CBD_709_1to1Dil_Slot1_24_1_3649.Intensity,CBD,CBD_10
X20210204_MK_MGH_Insol_CBD_583_1to1Dil_Slot1_25_1_3650.Intensity,CBD,CBD_11
X20210204_MK_MGH_Insol_CBD_560_1to1Dil_Slot1_13_1_3718.Intensity,CBD,CBD_12
X20210211_MK_CBD_305_UMB5375_Insol_1to1Dil_Slot1_21_1_3686.Intensity,CBD,CBD_13
X20210211_MK_CBD_304_UMB5223_Insol_1to1Dil_Slot1_20_1_3685.Intensity,CBD,CBD_14
X20210211_MK_CBD_303_UMB5101_Insol_1to1Dil_Slot1_19_1_3684.Intensity,CBD,CBD_15
X20210211_MK_CBD_302_UMB1718_Insol_1to1Dil_Slot1_18_1_3683.Intensity,CBD,CBD_16
X20210211_MK_CBD_301_UMB1594_Insol_1to1Dil_Slot1_17_1_3682.Intensity,CBD,CBD_17
X20210211_MK_CBD_300_UMB1350_Insol_1to1Dil_Slot1_16_1_3681.Intensity,CBD,CBD_18
X20210329_MK_MAYO_CBD_MF_201_Insol_1to1Dil_Slot1_16_1_4178.Intensity,CBD,CBD_19
X20210329_MK_MAYO_CBD_MF_202_Insol_1to1Dil_Slot1_17_1_4179.Intensity,CBD,CBD_20
X20210329_MK_MAYO_CBD_MF_203_Insol_1to1Dil_Slot1_18_1_4180.Intensity,CBD,CBD_21
X20210329_MK_MAYO_CBD_MF_204_Insol_1to1Dil_Slot1_28_1_4194.Intensity,CBD,CBD_22
X20210329_MK_MAYO_CBD_MF_205_Insol_1to1Dil_Slot1_29_1_4195.Intensity,CBD,CBD_23
X20210329_MK_MAYO_CBD_MF_206_Insol_1to1Dil_Slot1_17_1_4136.Intensity,CBD,CBD_24
X20210329_MK_MAYO_CBD_MF_207_Insol_1to1Dil_Slot1_18_1_4137.Intensity,CBD,CBD_25
X20210329_MK_MAYO_CBD_MF_208_Insol_1to1Dil_Slot1_19_1_4138.Intensity,CBD,CBD_26
X20210329_MK_MAYO_CBD_MF_209_Insol_1to1Dil_Slot1_29_1_4150.Intensity,CBD,CBD_27
X20210329_MK_MAYO_CBD_MF_210_Insol_1to1Dil_Slot1_30_1_4151.Intensity,CBD,CBD_28
X20210329_MK_MAYO_CBD_MF_211_Insol_1to1Dil_Slot1_31_1_4152.Intensity,CBD,CBD_29
X20210329_MK_MAYO_CBD_MF_212_Insol_1to1Dil_Slot1_41_1_4164.Intensity,CBD,CBD_30
X20210329_MK_MAYO_CBD_MF_213_Insol_1to1Dil_Slot1_42_1_4165.Intensity,CBD,CBD_31
X20210329_MK_MAYO_CBD_MF_214_Insol_1to1Dil_Slot1_43_1_4166.Intensity,CBD,CBD_32
X20210329_MK_MAYO_CBD_MF_215_Insol_1to1Dil_Slot1_30_1_4196.Intensity,CBD,CBD_33
X20210204_MK_MGH_Insol_FTLD_Tau_1573_1to1Dil_Slot1_13_1_3731.Intensity,CBD,FTLD-Tau_03
X20210409_MK_CTE_CTE_6093_Insol_1to1Dil_Slot1_31_1_4427.Intensity,CTE,CTE_01
X20210409_MK_CTE_CTE_6285_Insol_1to1Dil_Slot1_45_1_4442.Intensity,CTE,CTE_02
X20210409_MK_CTE_CTE_6285_Insol_Slot1_45_1_4468.Intensity,CTE,CTE_02
X20210409_MK_CTE_CTE_6943_Insol_1to1Dil_Slot1_25_1_4421.Intensity,CTE,CTE_03
X20210409_MK_CTE_CTE_6963_Insol_1to1Dil_Slot1_11_1_4445.Intensity,CTE,CTE_04
X20210409_MK_CTE_CTE_7155_Insol_1to1Dil_Slot1_12_1_4446.Intensity,CTE,CTE_05
X20210409_MK_CTE_CTE_7169_Insol_1to1Dil_Slot1_33_1_4429.Intensity,CTE,CTE_06
X20210409_MK_CTE_CTE_7222_Insol_1to1Dil_Slot1_27_1_4423.Intensity,CTE,CTE_07
X20210409_MK_CTE_CTE_7671_Insol_1to1Dil_Slot1_44_1_4441.Intensity,CTE,CTE_08
X20210409_MK_CTE_CTE_7671_Insol_Slot1_44_1_4467.Intensity,CTE,CTE_08
X20210409_MK_CTE_CTE_7865_Insol_1to1Dil_Slot1_30_1_4426.Intensity,CTE,CTE_09
X20210409_MK_CTE_CTE_8442_Insol_1to1Dil_Slot1_42_1_4439.Intensity,CTE,CTE_10
X20210409_MK_CTE_CTE_8442_Insol_Slot1_42_1_4465.Intensity,CTE,CTE_10
X20210409_MK_CTE_CTE_8632_Insol_Slot1_41_1_4464.Intensity,CTE,CTE_11
X20210409_MK_CTE_CTE_8647_Insol_1to1Dil_Slot1_13_1_4447.Intensity,CTE,CTE_12
X20210409_MK_CTE_CTE_8656_Insol_1to1Dil_Slot1_38_1_4435.Intensity,CTE,CTE_13
X20210409_MK_CTE_CTE_8656_Insol_Slot1_38_1_4461.Intensity,CTE,CTE_13
X20210409_MK_CTE_CTE_8712_Insol_1to1Dil_Slot1_35_1_4432.Intensity,CTE,CTE_14
X20210409_MK_CTE_CTE_8712_Insol_Slot1_35_1_4458.Intensity,CTE,CTE_14
X20210409_MK_CTE_CTE_8961_Insol_1to1Dil_Slot1_26_1_4422.Intensity,CTE,CTE_15
X20210409_MK_CTE_CTE_8965_Insol_1to1Dil_Slot1_37_1_4434.Intensity,CTE,CTE_16
X20210409_MK_CTE_CTE_8965_Insol_Slot1_37_1_4460.Intensity,CTE,CTE_16
X20210409_MK_CTE_CTE_8997_Insol_1to1Dil_Slot1_28_1_4424.Intensity,CTE,CTE_17
X20210409_MK_CTE_CTE_9043_Insol_1to1Dil_Slot1_43_1_4440.Intensity,CTE,CTE_18
X20210409_MK_CTE_CTE_9043_Insol_Slot1_43_1_4466.Intensity,CTE,CTE_18
X20210409_MK_CTE_CTE_9156_Insol_1to1Dil_Slot1_29_1_4425.Intensity,CTE,CTE_19
X20210409_MK_CTE_CTE_9195_Insol_1to1Dil_Slot1_32_1_4428.Intensity,CTE,CTE_20
